time,marker_id,description
0.0001521,101,Trash data in the TRIM period
3.0001521,102,Trash data in the TRIM period
3.0009634,10,Rest period started
6.0009634,20,Action period started
9.0009634,30,Release period started
12.0012172,10,Rest period started
15.0012172,20,Action period started
18.0012172,30,Release period started
21.0014754,10,Rest period started
24.0014754,20,Action period started
27.0014754,30,Release period started
30.0017083,10,Rest period started
33.0017083,20,Action period started
36.0017083,30,Release period started
39.0018782,201,Trash data in the TRIM period
42.0018782,202,Trash data in the TRIM period
