time,marker_id,description
0.0001542,101,Trash data in the TRIM period
3.0001542,102,Trash data in the TRIM period
3.0009335,10,Rest period started
6.0009335,20,Action period started
9.0009335,30,Release period started
12.0011484,10,Rest period started
15.0011484,20,Action period started
18.0011484,30,Release period started
21.001484,10,Rest period started
24.001484,20,Action period started
27.001484,30,Release period started
30.0018015,10,Rest period started
33.0018015,20,Action period started
36.0018015,30,Release period started
39.0022188,10,Rest period started
42.0022188,20,Action period started
45.0022188,30,Release period started
48.0024667,201,Trash data in the TRIM period
51.0024667,202,Trash data in the TRIM period
